product_name,duration_days,price_usd,description,demographics,difficulty,locations
Epic NorCal Expedition,10,2636,"Northern California’s finest parks, filled with dramatic coastlines and redwoods.",Perfect for travelers interested in Northern California's natural diversity.,Easy,"Sequoia National Park, Hollywood Walk of Fame, San Diego Zoo, Cabrillo National Monument, Oakland Museum of California, Channel Islands National Park Islands, Oakland Museum of California, Museum of Tolerance (Los Angeles), Pier 39, Ocean Beach Pier, Pfeiffer Beach, Getty Villa (Malibu)"
Golden State Wonders,9,2832,A grand tour through California's most awe-inspiring natural parks and landscapes.,Perfect for adventure seekers and hiking enthusiasts.,Challenging,"Point Reyes National Seashore, Patrick's Point State Park, Humboldt Redwoods State Park, Montana de Oro State Park, Crystal Cove State Park, Legion of Honor, Bodie State Historic Park, Skiing/Snowboarding (various locations), Mission Bay Park, Grammy Museum (Los Angeles), Mission San Francisco de Asís (Mission Dolores)"
Giant Trees & Granite Dreams,6,2622,"From towering redwoods to sheer cliffs, this journey celebrates California's giants.",Great for photographers and lovers of iconic landscapes.,Moderate,"Lava Beds National Monument, California Academy of Sciences, Santa Monica Pier, California State Railroad Museum, SeaWorld San Diego, California State Railroad Museum (Sacramento), California Science Center (Los Angeles), Bradbury Building, USS Iowa Museum (Los Angeles), Museum of Jurassic Technology (Culver City), The Autry Museum of the American West (Los Angeles)"
National Park Highlights,6,3493,Hit the highlights with a curated journey through California’s crown jewels.,Great for bucket-listers and national park enthusiasts.,Moderate,"Muir Woods National Monument, Winchester Mystery House, Norton Simon Museum, California's Great America (Santa Clara), Avila Beach, Exploratorium (San Francisco), Norton Simon Museum (Pasadena), Kayaking (various locations), El Matador State Beach, San Elijo State Beach, Salt Point State Park, Japanese American National Museum (Los Angeles), Mission San Francisco Solano"
Southern Skies Trail,14,2925,A warm-weather tour of desert parks and starlit trails.,Ideal for couples and solo travelers seeking scenic beauty.,Challenging,"Lake Tahoe, Del Norte Coast Redwoods State Park, Glass Beach (Fort Bragg), La Brea Tar Pits (Los Angeles), Computer History Museum (Mountain View), Rock climbing (various locations), Coit Tower, Griffith Park, Monterey State Beach, Santa Catalina Island, Mission San Rafael Arcángel"
California Classics,8,899,The best of California’s natural wonders in one seamless tour.,Perfect for first-time visitors wanting to see the highlights.,Challenging,"McArthur-Burney Falls Memorial State Park, Mono Lake, Six Flags Magic Mountain (Valencia), Mission San Luis Obispo de Tolosa, Fort Point National Historic Site (San Francisco), Morro Bay, Getty Center (Los Angeles), LACMA (Los Angeles), Biking (various locations), TCL Chinese Theatre, San Clemente Island, The Broad (Los Angeles)"
Legends of the Sierra,8,2627,"Explore the iconic Sierra Nevada with its forests, peaks, and waterfalls.",Recommended for outdoor enthusiasts and wellness travelers.,Easy,"Death Valley National Park, Mount Shasta, Getty Center, Universal Studios Hollywood, Gaslamp Quarter, Disney California Adventure Park (Anaheim), Hearst Castle (San Simeon), Laguna Beach, Fort Bragg Beaches, Glass Beach (Fort Bragg), Golden Gate Park (de Young Museum), Hollywood Bowl, Hotel del Coronado"
Sun & Stone Discovery,6,3473,"A sunny adventure through deserts, dunes, and monolithic rock formations.",Best suited for desert explorers and stargazers.,Challenging,"Joshua Tree National Park, Anza-Borrego Desert State Park, California State Capitol Museum (Sacramento), La Jolla Cove (San Diego), Baker Beach, Hot air ballooning (various locations), Golden Gate Park, Santa Cruz Island, Richard Nixon Presidential Library and Museum (Yorba Linda), Mission Soledad"
Coastal & Canyon Explorer,10,1654,Experience the beauty of the Pacific coastline and majestic inland canyons.,Ideal for families and nature lovers looking for variety.,Easy,"Pinnacles National Park, Chinatown, Balboa Park, California State Capitol Museum, Disneyland Park (Anaheim), Monterey Bay Aquarium, San Diego Zoo Safari Park, Tech Interactive (San Jose), Palace of Fine Arts, Carlsbad State Beach"
Valleys & Vistas,5,2543,"From Yosemite Valley to ocean views, this route has it all.","Great for those who love a mix of mountains, valleys, and coastlines.",Challenging,"Alcatraz Island, Lombard Street, Walt Disney Concert Hall, Universal Studios Hollywood, Coronado Beach (San Diego), USS Midway Museum (San Diego), Runyon Canyon Park, Venice Beach Boardwalk, Mission Santa Inés, Mission San Miguel Arcángel"
